,username,repo_name,stars,repo_url
0,CyC2018,CS-Notes,135000,https://github.com/CyC2018/CS-Notes
1,tuvtran,project-based-learning,52500,https://github.com/tuvtran/project-based-learning
2,azl397985856,leetcode,43000,https://github.com/azl397985856/leetcode
3,x64dbg,x64dbg,37000,https://github.com/x64dbg/x64dbg
4,fffaraz,awesome-cpp,32299,https://github.com/fffaraz/awesome-cpp
5,microsoft,calculator,22300,https://github.com/microsoft/calculator
6,CMU-Perceptual-Computing-Lab,openpose,21400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
7,huihut,interview,19400,https://github.com/huihut/interview
8,yuzu-emu,yuzu,15100,https://github.com/yuzu-emu/yuzu
9,changkun,modern-cpp-tutorial,14100,https://github.com/changkun/modern-cpp-tutorial
10,TheAlgorithms,C-Plus-Plus,13400,https://github.com/TheAlgorithms/C-Plus-Plus
11,microsoft,vcpkg,13200,https://github.com/microsoft/vcpkg
12,youngyangyang04,leetcode-master,12900,https://github.com/youngyangyang04/leetcode-master
13,facebook,infer,12400,https://github.com/facebook/infer
14,AnthonyCalandra,modern-cpp-features,12300,https://github.com/AnthonyCalandra/modern-cpp-features
15,gabime,spdlog,12100,https://github.com/gabime/spdlog
16,CoatiSoftware,Sourcetrail,11600,https://github.com/CoatiSoftware/Sourcetrail
17,google,tink,11400,https://github.com/google/tink
18,ethereum,solidity,11300,https://github.com/ethereum/solidity
19,Qv2ray,Qv2ray,11300,https://github.com/Qv2ray/Qv2ray
20,ssloy,tinyrenderer,10900,https://github.com/ssloy/tinyrenderer
21,SFTtech,openage,10400,https://github.com/SFTtech/openage
22,antlr,antlr4,10300,https://github.com/antlr/antlr4
23,kyleneideck,BackgroundMusic,9800,https://github.com/kyleneideck/BackgroundMusic
24,OpenRCT2,OpenRCT2,9600,https://github.com/OpenRCT2/OpenRCT2
25,compiler-explorer,compiler-explorer,9000,https://github.com/compiler-explorer/compiler-explorer
26,hmemcpy,milewski-ctfp-pdf,8600,https://github.com/hmemcpy/milewski-ctfp-pdf
27,codota,TabNine,8400,https://github.com/codota/TabNine
28,nasa,fprime,8300,https://github.com/nasa/fprime
29,rigtorp,awesome-modern-cpp,8100,https://github.com/rigtorp/awesome-modern-cpp
